[ 2017-01-06T16:32:03+08:00 ] /User_Index_dllist.html | INFO: Tag[ route_check ] --START--
[ 2017-01-06T16:32:03+08:00 ] /User_Index_dllist.html | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-01-06T16:32:03+08:00 ] /User_Index_dllist.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-01-06T16:32:03+08:00 ] /User_Index_dllist.html | INFO: Tag[ app_begin ] --START--
[ 2017-01-06T16:32:03+08:00 ] /User_Index_dllist.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-01-06T16:32:03+08:00 ] /User_Index_dllist.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-01-06T16:32:04+08:00 ] /User_Index_dllist.html | SQL: SHOW COLUMNS FROM `pay_dldate` [ RunTime:0.001953s ]
[ 2017-01-06T16:32:04+08:00 ] /User_Index_dllist.html | SQL: SELECT COUNT(*) AS tp_count FROM `pay_dldate` WHERE UserID=297 LIMIT 1   [ RunTime:0.002929s ]
[ 2017-01-06T16:32:04+08:00 ] /User_Index_dllist.html | SQL: SELECT * FROM `pay_dldate` WHERE UserID=297 ORDER BY dldate desc LIMIT 0,20   [ RunTime:0.001953s ]
[ 2017-01-06T16:32:04+08:00 ] /User_Index_dllist.html | INFO: Tag[ view_template ] --START--
[ 2017-01-06T16:32:04+08:00 ] /User_Index_dllist.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000977s ]
[ 2017-01-06T16:32:04+08:00 ] /User_Index_dllist.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000977s ]
[ 2017-01-06T16:32:04+08:00 ] /User_Index_dllist.html | INFO: Tag[ view_parse ] --START--
[ 2017-01-06T16:32:04+08:00 ] /User_Index_dllist.html | INFO: Run ParseTemplate Behavior [ RunTime:0.007812s ]
[ 2017-01-06T16:32:04+08:00 ] /User_Index_dllist.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007812s ]
[ 2017-01-06T16:32:04+08:00 ] /User_Index_dllist.html | INFO: Tag[ view_filter ] --START--
[ 2017-01-06T16:32:04+08:00 ] /User_Index_dllist.html | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-01-06T16:32:04+08:00 ] /User_Index_dllist.html | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-01-06T16:32:04+08:00 ] /User_Index_dllist.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-01-06T16:32:04+08:00 ] /User_Index_dllist.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-01-06T16:32:04+08:00 ] /User_Index_dllist.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000976s ]
[ 2017-01-06T16:32:04+08:00 ] /User_Index_dllist.html | INFO: Tag[ view_end ] --START--
[ 2017-01-06T16:32:04+08:00 ] /User_Index_dllist.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.000977s ]
[ 2017-01-06T16:32:04+08:00 ] /User_Index_dllist.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.000977s ]
[ 2017-01-06T16:33:10+08:00 ] /User | INFO: Tag[ route_check ] --START--
[ 2017-01-06T16:33:10+08:00 ] /User | INFO: Run CheckRoute Behavior [ RunTime:0.000976s ]
[ 2017-01-06T16:33:10+08:00 ] /User | INFO: Tag[ route_check ] --END-- [ RunTime:0.000976s ]
[ 2017-01-06T16:33:10+08:00 ] /User | INFO: Tag[ app_begin ] --START--
[ 2017-01-06T16:33:10+08:00 ] /User | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-01-06T16:33:10+08:00 ] /User | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-01-06T16:33:11+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_money` [ RunTime:0.001953s ]
[ 2017-01-06T16:33:11+08:00 ] /User | SQL: SELECT `Money` FROM `pay_money` WHERE UserID=297 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-01-06T16:33:11+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_userbasicinformation` [ RunTime:0.000976s ]
[ 2017-01-06T16:33:11+08:00 ] /User | SQL: SELECT `Compellation` FROM `pay_userbasicinformation` WHERE UserId=297 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-01-06T16:33:11+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_userapiinformation` [ RunTime:0.001953s ]
[ 2017-01-06T16:33:11+08:00 ] /User | SQL: SELECT `Zt` FROM `pay_userapiinformation` WHERE UserId=297 LIMIT 1   [ RunTime:0.000976s ]
[ 2017-01-06T16:33:11+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_tongzhi` [ RunTime:0.001953s ]
[ 2017-01-06T16:33:11+08:00 ] /User | SQL: SELECT * FROM `pay_tongzhi` WHERE UserID=297 ORDER BY id desc  [ RunTime:0.000000s ]
[ 2017-01-06T16:33:11+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_bank` [ RunTime:0.001953s ]
[ 2017-01-06T16:33:11+08:00 ] /User | SQL: SELECT COUNT(*) AS tp_count FROM `pay_bank` WHERE UserID=297 and banktype = 0  LIMIT 1   [ RunTime:0.000000s ]
[ 2017-01-06T16:33:11+08:00 ] /User | SQL: SELECT `BankName` FROM `pay_bank` WHERE UserID=297 and moren = 1 LIMIT 1   [ RunTime:0.000000s ]
[ 2017-01-06T16:33:11+08:00 ] /User | SQL: SHOW COLUMNS FROM `pay_order` [ RunTime:0.001953s ]
[ 2017-01-06T16:33:11+08:00 ] /User | SQL: SELECT * FROM `pay_order` WHERE (UserID=297 or (Username = '297' and typepay = 5) ) and Zt = 1 ORDER BY TradeDate desc LIMIT 0,10   [ RunTime:0.000977s ]
