[ 2017-01-09T01:16:48+08:00 ] /Payapi_Alipay_ReturnUrl.html | INFO: Tag[ route_check ] --START--
[ 2017-01-09T01:16:48+08:00 ] /Payapi_Alipay_ReturnUrl.html | INFO: Run CheckRoute Behavior [ RunTime:0.000976s ]
[ 2017-01-09T01:16:48+08:00 ] /Payapi_Alipay_ReturnUrl.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000976s ]
[ 2017-01-09T01:16:48+08:00 ] /Payapi_Alipay_ReturnUrl.html | INFO: Tag[ app_begin ] --START--
[ 2017-01-09T01:16:48+08:00 ] /Payapi_Alipay_ReturnUrl.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-01-09T01:16:48+08:00 ] /Payapi_Alipay_ReturnUrl.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-01-09T01:16:49+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SHOW COLUMNS FROM `pay_sjapi` [ RunTime:0.002930s ]
[ 2017-01-09T01:16:49+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SELECT `shid` FROM `pay_sjapi` WHERE apiname='Alipay' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-01-09T01:16:49+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SELECT `key` FROM `pay_sjapi` WHERE apiname='Alipay' LIMIT 1   [ RunTime:0.000977s ]
[ 2017-01-09T01:16:49+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SELECT `zhanghu` FROM `pay_sjapi` WHERE apiname='Alipay' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-01-09T01:16:49+08:00 ] /Payapi_Alipay_ReturnUrl.html | NOTIC: [8] Undefined index: trade_status AlipayAction.class.php 第 293 行.
[ 2017-01-09T01:16:49+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SHOW COLUMNS FROM `pay_order` [ RunTime:0.002930s ]
[ 2017-01-09T01:16:49+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SELECT `UserID` FROM `pay_order` WHERE TransID = '43033120170108004931' LIMIT 1   [ RunTime:0.000976s ]
[ 2017-01-09T01:16:49+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SELECT `Sjt_Return_url` FROM `pay_order` WHERE TransID = '43033120170108004931' LIMIT 1   [ RunTime:0.000977s ]
[ 2017-01-09T01:16:49+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SELECT `Sjt_Merchant_url` FROM `pay_order` WHERE TransID = '43033120170108004931' LIMIT 1   [ RunTime:0.000976s ]
[ 2017-01-09T01:16:49+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SELECT `UserID` FROM `pay_order` WHERE TransID = '43033120170108004931' LIMIT 1   [ RunTime:0.000977s ]
[ 2017-01-09T01:16:49+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SELECT `Username` FROM `pay_order` WHERE TransID = '43033120170108004931' LIMIT 1   [ RunTime:0.000976s ]
[ 2017-01-09T01:16:49+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SELECT `OrderMoney` FROM `pay_order` WHERE TransID = '43033120170108004931' LIMIT 1   [ RunTime:0.000977s ]
[ 2017-01-09T01:16:49+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SELECT `trademoney` FROM `pay_order` WHERE TransID = '43033120170108004931' LIMIT 1   [ RunTime:0.000976s ]
[ 2017-01-09T01:16:49+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SELECT `trademoney` FROM `pay_order` WHERE TransID = '43033120170108004931' LIMIT 1   [ RunTime:0.000977s ]
[ 2017-01-09T01:16:49+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SELECT `typepay` FROM `pay_order` WHERE TransID = '43033120170108004931' LIMIT 1   [ RunTime:0.000976s ]
[ 2017-01-09T01:16:49+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SELECT `payname` FROM `pay_order` WHERE TransID = '43033120170108004931' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-01-09T01:16:49+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SELECT `Zt` FROM `pay_order` WHERE TransID = '43033120170108004931' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-01-09T01:16:49+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SHOW COLUMNS FROM `pay_userapiinformation` [ RunTime:0.001953s ]
[ 2017-01-09T01:16:49+08:00 ] /Payapi_Alipay_ReturnUrl.html | SQL: SELECT `Key` FROM `pay_userapiinformation` WHERE UserID=297 LIMIT 1   [ RunTime:0.000977s ]
[ 2017-01-09T01:17:10+08:00 ] /Payapi_Alipay_ReturnUrl.html | NOTIC: [2] file_get_contents(http://du.local/PayApi/Result_url.php?&amp;Sjt_TransID=43033120170108004931) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: �������ӷ���һ��ʱ���û����ȷ�𸴻����ӵ�����û�з�Ӧ�����ӳ���ʧ�ܡ�
 PayAction.class.php 第 702 行.
[ 2017-01-09T04:48:44+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-01-09T04:48:44+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-01-09T04:48:44+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-01-09T04:48:44+08:00 ] / | NOTIC: [2048] Declaration of IndexAction::ajaxreturn() should be compatible with that of Action::ajaxReturn() IndexAction.class.php 第 1060 行.
[ 2017-01-09T04:48:45+08:00 ] / | SQL: SHOW COLUMNS FROM `pay_newlist` [ RunTime:0.002930s ]
[ 2017-01-09T04:48:45+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 0 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000977s ]
[ 2017-01-09T04:48:45+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 1 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-01-09T04:48:45+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 2 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-01-09T04:48:45+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 3 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-01-09T04:48:45+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-01-09T04:48:45+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000977s ]
[ 2017-01-09T04:48:45+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000977s ]
[ 2017-01-09T04:48:45+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2017-01-09T04:48:45+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.013672s ]
[ 2017-01-09T04:48:45+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013672s ]
[ 2017-01-09T04:48:45+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2017-01-09T04:48:45+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-01-09T04:48:45+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-01-09T04:48:45+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-01-09T04:48:45+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000977s ]
