[ 2017-02-06T10:51:43+08:00 ] /test2.php | INFO: Tag[ route_check ] --START--
[ 2017-02-06T10:51:43+08:00 ] /test2.php | INFO: Run CheckRoute Behavior [ RunTime:0.001232s ]
[ 2017-02-06T10:51:43+08:00 ] /test2.php | INFO: Tag[ route_check ] --END-- [ RunTime:0.003343s ]
[ 2017-02-06T10:51:43+08:00 ] /test2.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-02-06T10:51:43+08:00 ] /test2.php | INFO: Tag[ app_begin ] --START--
[ 2017-02-06T10:51:43+08:00 ] /test2.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000869s ]
[ 2017-02-06T10:51:43+08:00 ] /test2.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000945s ]
[ 2017-02-06T10:51:43+08:00 ] /test2.php | NOTIC: [2] session_start(): Cannot send session cookie - headers already sent by (output started at /Users/pengxiaozhou/Documents/Development/Projects/Du/wwwroot/Conf/config.php:1) functions.php 第 411 行.
[ 2017-02-06T10:51:43+08:00 ] /test2.php | NOTIC: [2] session_start(): Cannot send session cache limiter - headers already sent (output started at /Users/pengxiaozhou/Documents/Development/Projects/Du/wwwroot/Conf/config.php:1) functions.php 第 411 行.
[ 2017-02-06T10:51:43+08:00 ] /test2.php | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-02-06T10:51:44+08:00 ] /test2.php | SQL: SHOW COLUMNS FROM `pay_user` [ RunTime:0.018512s ]
[ 2017-02-06T10:51:44+08:00 ] /test2.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-02-06T10:51:44+08:00 ] /test2.php | SQL: SELECT `id` FROM `pay_user` WHERE mypayurlname='test2.php' LIMIT 1   [ RunTime:0.004744s ]
[ 2017-02-06T10:51:44+08:00 ] /test2.php | INFO: Tag[ view_template ] --START--
[ 2017-02-06T10:51:44+08:00 ] /test2.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000610s ]
[ 2017-02-06T10:51:44+08:00 ] /test2.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000664s ]
